,index,name,cnt,unit,gram,cal,carbs,protein,fat,sugar,salt
308,744,쥐포무침,1,소접시,31,95,9.8,8.12,2.55,0,0
309,543,찹쌀전병,1,개,11,46,8.7,0.8,1,0,0
310,860,깻잎나물볶음,1,회,90,70,7.22,3.34,4.57,0,0
311,206,어묵국,1,인분,200,121,12.5,12.66,2.37,1.14,1183
312,47,쇠고기김밥,1,줄,186,512,90.64,11.43,7.39,0,0
313,441,[오뚜기] 3분참치죽,1,인분,230,80,23,2,0,0,0
314,509,[풀무원] 생가득고소한새우크림요리죽,1,회분,200,165,25.65,5.03,4.7,0,0
315,336,오징어찌개,0.5,인분,87,60,3.8,8.8,1.4,3.3,316
316,471,[본죽] 매생이굴죽,1,그릇,815,770,0,0,0,0,0
317,961,돼지고기바베큐,1,조각,33,59,0,0,0,0,0
318,325,두부된장찌개,1,인분,300,162,15.2,13,5.6,2,2272
319,702,톳나물,1,소접시,64,33,7.15,1.42,0.4,0,0
320,113,[한솥도시락] 명란도시락,1,인분,400,599,0,0,0,0,0
321,535,쑥설기,1,개,20,51,11.1,0.9,0.1,0,0
322,313,[오뚜기] 북어국스프,1,회분,10,30,5.5,2,0,0,0
323,694,시금치나물,1,소접시,86,57,6.16,2.74,3.08,0.81,497
324,98,[오뚜기] 맛있는춘천닭갈비덮밥,1,개,340,460,82,15,8,0,0
325,68,salmon avocado roll,1,팩,100,190,33,6,4,0,0
326,197,조개된장국,1,대접,114,62,11.05,6.2,1.24,0,0
327,659,[풀무원] 한국풍참깨간장드레싱,1,회분,30,24,5.2,0.8,0,0,0
328,590,[백설] 멸치다시다,1,종지,2,5,0.6,0.6,0.1,0,0
329,50,비엔나야채주먹밥,1,개,100,145,27.4,4.4,2,0,0
330,615,그린스위트,1,회분,3,12,3,0,0,0,0
331,729,미역오이초무침,1,소접시,60,20,5.8,1.85,0.35,0,0
332,793,[모정식품] 메밀묵,1,회분,100,65,0,0,0,0,0
333,718,머위나물,1,소접시,77,65,10.26,3.65,2.07,0,0
334,571,양조간장,1,큰술,15,9,1,1,1,0,0
335,177,감자밥,1,공기,270,308,68.6,5.68,0.08,0,5.2
336,880,버섯만넣은마른표고버섯볶음,1,접시,103,309,34,18.5,11,0,0
337,377,[하림] 하림닭다리삼계탕,1,팩,600,780,90.85,62.3,18.6,0,0
338,312,[오뚜기] 미역국스프,1,회분,9,30,5.4,1,0.5,0,0
339,682,부추겉절이,1,소접시,83,59,4.74,5.22,0.57,0,0
340,850,쇠고기버섯볶음,1,소접시,104,124,6.42,11.45,11.24,0,0
341,256,바지락냉이토장국,1,대접,108,63,8.63,7.16,1.24,0,0
342,866,도라지볶음,1,소접시,69,108,12.99,1.53,5.03,0,0
343,444,[오뚜기] 야채죽,1,인분,28,105,0,0,0,0,0
344,293,시래기국,1,대접,345,53,6.11,4.72,1.77,0,0
345,577,초고추장,1,종지,20,43,10.41,0.6,0.04,8.71,72
346,972,돼지양념갈비,1,토막,45,196,0,0,0,0,0
347,62,삼각김밥 참치마요네즈,1,개,100,163,0,0,0,0,0
348,77,버섯덮밥,1,대접,232,430,77.48,12.6,3.62,0,0
349,424,계란죽,1,대접,280,189,24.21,8.76,10.81,0,0
350,389,가자미매운탕,1,인분,161,141,10,18,3,0,0
351,722,떡맛샐러드,1,소접시,120,210,0,0,0,0,0
352,138,비빔밥,1,인분,400,586,89.78,22.05,13.99,6.02,433
353,685,양배추겉절이,1,소접시,95,41,6.05,1.46,1.61,0,0
354,862,죽순볶음,1,소접시,65,70,2.34,2.15,6.47,0,0
355,458,[농심] 보노스프 펌킨스프,1,회분,19,85,13.34,1.16,3,0,0
356,307,즉석미소된장국,1,회분,7,20,0,0,0,0,0
357,96,[청정원] 카레여왕 스위트카레,1,인분,180,210,25,4,10,0,750
358,223,떡국,1,그릇,300,345,66.59,11.18,3.21,0.64,644
359,877,[해도원식품] 오대감파래김,1,회분,5,25,0,0,0,0,0
360,873,미역줄기잡채,1,소접시,89,85,3.88,4.88,7.79,0,0
361,171,[동원] 쎈쿡건강한녹차혼합곡,1,인분,210,320,70.38,6.92,1.2,0,0
362,980,돼지등심 구운것,1,토막,45,113,0.32,17.06,3.96,0,0
363,754,어묵콩나물부추무침,1,소접시,76,70,8.99,7.1,1.98,0,0
